COURSE_ID,DEPARTMENT,SEMESTER,COURSE_CODE,COURSE_NAME,L,T,P,S,C,SEMESTER_TYPE,FACULTY_ID,COMBINED,CAPACITY
93,ECE,2_postmid,B4(New/New/New/New),Linux for Engineers/Photography101/Introduction to Holistic Personality Development/Visual Design – Principles and Application in Product Communication,3,1,0,0,2,even,31;24;47;8;30,TRUE,63
94,ECE,4,MA208,Probability and Random Processes,3,1,0,0,4,even,26,FALSE,61
95,ECE,4,EC205,Control Systems,3,0,2,0,4,even,20,FALSE,61
96,ECE,4,EC310,Embedded Systems Design,3,1,0,0,4,even,23,FALSE,61
97,ECE,4,EC204,Analog and Digital Communication,3,1,2,0,5,even,34,FALSE,61
98,ECE,4,HS204,Economics,3,1,0,0,4,even,5,FALSE,61
99,ECE,4,HS205,Ethics,3,0,0,0,3,even,14,TRUE,61
100,ECE,6,EC307,Wireless Cmmunication,3,0,0,4,4,even,28,FALSE,52
101,ECE,6,B1,Deep Learning for Computer Vision/Large Language Models/Natural Language Processing/Deep Speech Processing/CMOS RF Circuit Design,3,1,0,0,4,even,7;38;15;26;35,TRUE,80
102,ECE,6,B2,Blockchain Technology/Introduction to 5G Network/Model Checking/Quantum Communication/Quantum HPC and AI/Design Thinking and Innovation,3,1,0,0,4,even,25;12;21;18;30,TRUE,80
103,ECE,6,B3,Computer Graphics/Machine learning/Virtualization and Cloud Computing,3,1,0,0,4,even,41;9;16,TRUE,47
104,ECE,6,B4,Data Analytics and Visualization/Statistics for Health Technology/Medical Image Analysis/Bioinformatics,3,1,0,0,4,even,26;29;11;37,TRUE,47
